hour,day,month,temp,humidity,wind,pressure,precip
0,25,1,3,85,6,29.74,0.0
1,24,1,1,72,21,29.81,0.0
2,24,1,1,72,20,29.82,0.0
3,24,1,0,78,18,29.83,0.0
4,24,1,0,78,20,29.83,0.0
5,24,1,0,78,14,29.84,0.0
6,24,1,-2,78,14,29.84,0.0
7,24,1,0,72,14,29.85,0.0
8,24,1,-2,78,15,29.85,0.0
9,24,1,0,72,15,29.86,0.0
10,24,1,1,72,15,29.86,0.0
11,24,1,3,66,14,29.84,0.0
12,24,1,5,66,13,29.81,0.0
13,24,1,9,62,14,29.79,0.0
14,24,1,10,57,14,29.77,0.0
15,24,1,12,57,16,29.76,0.0
16,24,1,12,57,9,29.76,0.0
17,24,1,9,62,8,29.77,0.0
18,24,1,7,67,7,29.76,0.0
19,24,1,9,62,7,29.77,0.0
20,24,1,7,67,6,29.76,0.0
21,24,1,7,72,3,29.75,0.0
22,24,1,5,78,5,29.75,0.0
23,24,1,7,79,5,29.74,0.0
1,25,1,1,85,2,29.73,0.0
2,25,1,1,85,2,29.73,0.0
3,25,1,5,78,0,29.74,0.0
4,25,1,5,85,0,29.74,0.0
5,25,1,1,85,2,29.74,0.0
6,25,1,3,85,3,29.74,0.0
7,25,1,0,85,2,29.75,0.0
8,25,1,3,85,5,29.74,0.0
9,25,1,7,85,5,29.73,0.0
10,25,1,10,79,3,29.73,0.0
11,25,1,12,79,3,29.74,0.0
12,25,1,14,79,5,29.72,0.0
13,25,1,16,79,5,29.7,0.0
14,25,1,19,74,3,29.69,0.0
15,25,1,19,74,6,29.69,0.0
16,25,1,18,86,6,29.68,0.0
17,25,1,18,86,6,29.68,0.0
18,25,1,18,86,7,29.7,0.0
19,25,1,18,86,7,29.7,0.0
20,25,1,18,86,7,29.71,0.0
21,25,1,18,86,7,29.7,0.0
22,25,1,18,86,5,29.69,0.0
23,25,1,18,86,0,29.69,0.0
0,27,1,21,93,15,29.49,0.0
0,26,1,18,86,5,29.69,0.0
1,27,1,23,86,10,29.51,0.0
2,27,1,23,86,9,29.53,0.0
3,27,1,23,86,9,29.55,0.0
4,27,1,23,93,9,29.57,0.0
5,27,1,23,86,8,29.59,0.0
6,27,1,18,93,9,29.62,0.0
7,27,1,19,93,8,29.65,0.0
8,27,1,21,86,10,29.67,0.0
9,27,1,19,86,12,29.7,0.0
10,27,1,19,86,12,29.71,0.0
11,27,1,19,86,10,29.71,0.0
12,27,1,23,74,9,29.71,0.0
13,27,1,25,69,10,29.7,0.0
14,27,1,25,69,9,29.71,0.0
15,27,1,23,74,15,29.72,0.0
16,27,1,21,80,13,29.73,0.0
17,27,1,21,80,9,29.73,0.0
18,27,1,21,80,10,29.74,0.0
19,27,1,21,80,12,29.75,0.0
20,27,1,21,80,13,29.75,0.0
21,27,1,21,74,12,29.75,0.0
22,27,1,19,86,9,29.75,0.0
23,27,1,19,80,9,29.76,0.0
1,26,1,18,86,6,29.68,0.0
2,26,1,18,93,5,29.68,0.0
3,26,1,19,86,5,29.68,0.0
4,26,1,19,86,6,29.67,0.0
5,26,1,18,93,6,29.67,0.0
6,26,1,18,93,7,29.66,0.0
7,26,1,19,86,9,29.66,0.0
8,26,1,19,86,9,29.67,0.0
9,26,1,19,86,12,29.66,0.0
10,26,1,21,80,10,29.64,0.0
11,26,1,21,86,10,29.63,0.0
12,26,1,23,80,12,29.58,0.0
13,26,1,25,74,12,29.56,0.0
14,26,1,25,74,15,29.54,0.0
15,26,1,25,74,17,29.51,0.0
16,26,1,25,74,13,29.49,0.0
17,26,1,23,86,12,29.51,0.0
18,26,1,23,86,14,29.52,0.0
19,26,1,21,93,16,29.52,0.0
20,26,1,21,93,15,29.51,0.0
21,26,1,21,93,18,29.5,0.0
22,26,1,21,93,18,29.5,0.0
23,26,1,21,93,16,29.5,0.0
0,29,1,0,72,17,29.8,0.0
0,28,1,19,74,13,29.77,0.0
1,29,1,0,66,17,29.79,0.0
2,29,1,0,66,15,29.78,0.0
3,29,1,0,72,16,29.79,0.0
4,29,1,-2,71,10,29.79,0.0
5,29,1,-2,71,13,29.8,0.0
6,29,1,-2,71,14,29.8,0.0
7,29,1,-2,71,12,29.81,0.0
8,29,1,-2,71,13,29.83,0.0
