minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
24,21,1,1,28.3,78,5.7,30.13,0.0,-999,-999,-999,-999,-999
0,21,5,1,-999,-999,-999,-999,-999,13,.3,17,11,.2
24,22,1,1,28.3,77,5.6,30.1,0.0,-999,-999,-999,-999,-999
0,22,5,1,-999,-999,-999,-999,-999,12,.26,12.1,16,.2
24,23,1,1,26.0,94,4.6,30.07,0.0,-999,-999,-999,-999,-999
0,23,5,1,-999,-999,-999,-999,-999,13,.22,11.3,17,.2
29,0,1,1,27.8,74,1.8,30.46,0.0,-999,-999,-999,-999,-999
0,0,6,1,-999,-999,-999,-999,-999,12,.19,10.5,17,.2
29,1,1,1,26.5,77,0.8,30.45,0.0,-999,-999,-999,-999,-999
0,1,6,1,-999,-999,-999,-999,-999,12,.19,14,13,.2
29,2,1,1,26.8,79,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,6,1,-999,-999,-999,-999,-999,12,.21,12.9,14,.1
29,3,1,1,27.2,78,2.3,30.48,0.0,-999,-999,-999,-999,-999
0,3,6,1,-999,-999,-999,-999,-999,10,.19,9.8,16,.1
29,4,1,1,27.4,78,0.2,30.46,0.0,-999,-999,-999,-999,-999
0,4,6,1,-999,-999,-999,-999,-999,8,.16,7.9,20,.1
29,5,1,1,27.7,75,1.7,30.48,0.0,-999,-999,-999,-999,-999
0,5,6,1,-999,-999,-999,-999,-999,4,.15,3.8,27,.1
29,6,1,1,27.9,78,1.5,30.5,0.0,-999,-999,-999,-999,-999
0,6,6,1,-999,-999,-999,-999,-999,4,.15,4.6,26,.1
29,7,1,1,26.6,84,1.1,30.49,0.0,-999,-999,-999,-999,-999
0,7,6,1,-999,-999,-999,-999,-999,4,.16,4.5,27,.1
29,8,1,1,27.1,84,1.2,30.5,0.0,-999,-999,-999,-999,-999
0,8,6,1,-999,-999,-999,-999,-999,4,.16,4.5,26,.1
29,9,1,1,26.7,85,1.6,30.52,0.0,-999,-999,-999,-999,-999
0,9,6,1,-999,-999,-999,-999,-999,4,.17,4,25,.1
29,10,1,1,28.4,83,1.5,30.5,0.0,-999,-999,-999,-999,-999
0,10,6,1,-999,-999,-999,-999,-999,4,.16,4.8,25,.1
29,11,1,1,28.8,82,1.8,30.46,0.0,-999,-999,-999,-999,-999
0,11,6,1,-999,-999,-999,-999,-999,4,.18,2.8,26,.1
29,12,1,1,29.3,81,1.6,30.43,0.0,-999,-999,-999,-999,-999
0,12,6,1,-999,-999,-999,-999,-999,3,.17,2.1,27,0
29,13,1,1,29.8,82,1.4,30.41,0.0,-999,-999,-999,-999,-999
0,13,6,1,-999,-999,-999,-999,-999,3,.18,2.2,28,0
29,14,1,1,29.8,80,2.8,30.38,0.0,-999,-999,-999,-999,-999
0,14,6,1,-999,-999,-999,-999,-999,3,.18,2,28,0
29,15,1,1,30.1,80,4.1,30.33,0.0,-999,-999,-999,-999,-999
0,15,6,1,-999,-999,-999,-999,-999,3,.18,2.7,28,0
29,16,1,1,30.7,79,3.4,30.31,0.0,-999,-999,-999,-999,-999
0,16,6,1,-999,-999,-999,-999,-999,4,.19,4.2,27,0
29,17,1,1,30.1,79,3.7,30.29,0.0,-999,-999,-999,-999,-999
0,17,6,1,-999,-999,-999,-999,-999,4,.22,6.3,25,0
29,18,1,1,29.5,80,3.2,30.27,0.0,-999,-999,-999,-999,-999
0,18,6,1,-999,-999,-999,-999,-999,5,.2,4.3,27,0
29,19,1,1,28.8,79,5.0,30.2,0.0,-999,-999,-999,-999,-999
0,19,6,1,-999,-999,-999,-999,-999,5,.21,4.1,28,0
29,20,1,1,28.6,78,4.9,30.18,0.0,-999,-999,-999,-999,-999
0,20,6,1,-999,-999,-999,-999,-999,5,.19,4.3,29,0
29,21,1,1,28.3,78,6.5,30.13,0.0,-999,-999,-999,-999,-999
0,21,6,1,-999,-999,-999,-999,-999,4,.18,4.4,30,0
29,22,1,1,28.3,77,6.0,30.1,0.0,-999,-999,-999,-999,-999
0,22,6,1,-999,-999,-999,-999,-999,4,.17,2.8,32,0
29,23,1,1,25.8,94,5.9,30.07,0.0,-999,-999,-999,-999,-999
0,23,6,1,-999,-999,-999,-999,-999,3,.17,2.5,32,0
34,0,1,1,27.8,74,2.6,30.46,0.0,-999,-999,-999,-999,-999
0,0,7,1,-999,-999,-999,-999,-999,3,.17,2.2,32,0
34,1,1,1,26.5,77,0.0,30.45,0.0,-999,-999,-999,-999,-999
0,1,7,1,-999,-999,-999,-999,-999,2,.16,2.2,32,.1
34,2,1,1,26.7,79,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,7,1,-999,-999,-999,-999,-999,2,.15,1.8,31,0
34,3,1,1,27.4,77,4.6,30.48,0.0,-999,-999,-999,-999,-999
0,3,7,1,-999,-999,-999,-999,-999,2,.16,2.3,29,.2
34,4,1,1,27.4,77,1.0,30.45,0.0,-999,-999,-999,-999,-999
0,4,7,1,-999,-999,-999,-999,-999,2,.16,1.9,29,0
34,5,1,1,27.8,75,1.0,30.48,0.0,-999,-999,-999,-999,-999
0,5,7,1,-999,-999,-999,-999,-999,2,.13,2.9,28,0
34,6,1,1,27.5,81,0.9,30.5,0.0,-999,-999,-999,-999,-999
0,6,7,1,-999,-999,-999,-999,-999,2,.13,2.8,28,0
34,7,1,1,26.5,84,0.8,30.49,0.0,-999,-999,-999,-999,-999
0,7,7,1,-999,-999,-999,-999,-999,2,.13,4.2,27,0
34,8,1,1,27.2,84,1.8,30.5,0.0,-999,-999,-999,-999,-999
0,8,7,1,-999,-999,-999,-999,-999,3,.14,2.9,28,0
34,9,1,1,26.8,85,1.3,30.52,0.0,-999,-999,-999,-999,-999
