date,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2021-03-17,38.3,25.4,24.8,29.7,30.3,31.7,32.3,30.8,33.8,20.3,9.5,9.8,6.3,5.9,5.5,6.9,8.1,8.9,10.6,11,10.6,10.3,6.7,8.4
2021-03-18,5.6,6,6.6,6.7,5.7,7.2,13.5,8.7,5.7,3.9,3.3,2.6,2,1.9,2,1.8,2.4,2.7,3.3,3.4,3.4,2.7,2.1,2.7
2021-03-19,4.7,6.4,4.6,4.3,4.7,6.5,8.2,4.5,3,2.9,1.7,1.4,1.6,1.5,2.6,2.6,2.8,4.1,7.4,20.3,29.5,10,11.1,17.8
2021-03-20,13.2,9.1,6.6,6.7,10.6,12.8,13.9,11.1,7.8,5.1,2.5,2.7,2.6,2.8,2.3,2.8,3.4,5.9,11.9,8.5,11.2,14.4,19.4,12.1
2021-03-21,10.5,22.4,26.9,34.2,32.4,35.8,33.6,26.9,18.7,10.4,6.4,4.3,3.4,3.2,3.3,3.3,3.6,5.1,8.3,10.8,9.4,9.8,17.1,19.5
2021-03-22,34.6,34.6,19.6,14.6,10.4,17.4,16.6,32,25.6,11.3,7.3,5.1,4.3,3.9,3.3,3.4,4.2,4.8,8.4,10.9,10.4,10.3,8.7,16.9
2021-03-23,24.7,24.5,25,15,15,19,26.4,27.6,33.5,22.7,7.5,7.2,5.8,6.6,5.9,5.4,6.4,8.7,9.8,14.4,13.8,9.9,10.6,19.8
2021-03-24,17.5,13.1,11.5,8.2,8.7,9.8,16.5,15.9,18.4,16,15.8,9.9,9.9,9,8.3,10.5,11.2,11.4,12.2,12.2,9.4,8.9,9,9.9
2021-03-25,9.5,6.8,8.3,8.9,11.8,7.9,20.3,17.7,16.7,8.6,5.4,4.3,4.5,4.1,4.9,5.4,5.1,7.7,7.9,5.6,5.6,6.2,3.2,4
2021-03-26,4.8,3.3,3.3,3.5,3.1,3.7,4,4.6,4.3,4.3,5.6,4.8,3.4,2.6,2.2,2.2,2.2,1.9,1.9,2,2.3,3,2.8,2
2021-03-27,2.2,2.5,2.4,2.7,2.6,3.3,3.2,3.1,2.8,2.9,2.2,1.9,2.1,2,2.4,2.6,1.7,3.9,6.1,4.8,3.8,4,3.5,3.8
2021-03-28,3.5,3.6,3.8,3.2,4.4,3.8,4,4.3,4,4.1,5.4,6,5.6,6,8.2,9.3,15.4,19.5,6.2,4.5,2.5,2.5,2.2,2
2021-03-29,1.8,1.4,1.2,1.2,1.3,1.7,2,2.2,2.2,1.8,1.8,1.7,1.5,1.7,1.6,1.8,1.7,1.9,3.9,11.6,18.9,34.5,37.5,27.1
2021-03-30,24.5,25.3,25.9,16.7,22.7,18.4,13.5,15.3,9.9,4.5,3.8,3.7,3,3.5,4.2,3.4,3.8,4.7,5.7,5.9,4.4,4.9,6.7,5.1
2021-03-31,3.5,3.1,3.6,3.6,5,7.7,17.8,9.9,7.6,5.8,6.3,6.6,4.8,3.9,3.9,4.1,3.8,3.9,3.9,7.4,12,9.4,7.9,4.8
2021-04-01,3.4,2.9,2.5,3.3,2.3,2.3,2.8,2.8,2.3,2,2.1,1.4,1.3,1.4,1.4,1.6,1.7,1.8,2.4,1.9,3.4,3.1,3,2.1
2021-04-02,1.8,2,2.1,2.1,2.2,2.2,2,1.7,1.4,1.4,1.3,1.3,1.1,1.1,1.2,1.2,1.4,1.6,2.1,3.1,7.3,7.6,8.5,9.8
2021-04-03,7.5,7.9,6.2,6.8,6,6,7.2,4.2,3.2,2.2,2,1.7,1.6,1.7,2,1.9,2.4,3.9,6.1,7,6.2,6.8,5.8,4.6
2021-04-04,4.9,5.7,13,13,13,16.6,13.2,9.9,5.9,4.5,3.6,2.9,3.4,2.9,2.8,2.8,2.5,2.7,4.3,7.7,5,5.2,5.3,3
2021-04-05,4.1,3.5,3.8,3.8,4.5,4.4,4.8,3.5,2.3,2.1,2.1,1.5,1.4,1.6,1.4,1.4,1.8,1.7,2.5,4.5,5.2,5.8,8.4,8.3
2021-04-06,7.5,10.2,4.7,9,4.4,6.1,5.4,4.2,2.6,1.5,1.4,1.5,1.7,2,1.9,2,2.4,2.7,5.4,10.9,12,14.9,8.9,7.4
2021-04-07,17.6,11.2,11.9,10.8,12.2,16.5,16.1,11,9.2,7.8,6.2,4.1,2.7,2.5,2.4,2.5,2.5,2.4,3.1,4.7,5.2,5.4,6,5.9
2021-04-08,5.7,6.9,5.7,3.8,3.6,4.4,5.2,4,3.4,3.1,2.6,2.4,2.5,2.2,2.4,2.3,2.4,3.1,3.5,4.6,5.8,4.3,3.3,2.9
2021-04-09,2.7,3.3,3.3,3.5,4.5,6.4,8.4,6.9,5.5,5.5,3.6,2.6,2.8,2.5,2.5,3.1,3.1,4.5,4.9,6.5,12.4,13.3,19.2,13.3
2021-04-10,9.9,10.2,9.8,13.5,8.8,10.9,8.1,11.2,3.8,3.1,2.7,2.5,2.4,2.6,2.2,2.4,2.6,3.1,6.2,11.6,11.9,9.5,11.9,9.3
2021-04-11,7.4,4.6,3.8,2,1.9,1.9,1.9,1.7,1.9,3.1,2.2,1.8,1.6,1.8,1.7,1.9,1.6,1.9,1.8,2.3,1.7,1.9,1.7,1.5
2021-04-12,1.4,1.4,1.4,1.6,1.7,2.3,3.2,3.2,2.4,2.7,2.5,2.6,2.5,2.6,2.3,2.2,2.6,2.4,2.5,2.2,2.1,2,2.2,2.6
2021-04-13,2.1,1.9,2,1.9,2.1,2.8,4.7,3.7,2.9,2.7,2.4,2.3,2.1,2.1,2,2.5,2.4,3.1,4.3,3.5,3.3,5,8.2,16
2021-04-14,15.7,7.7,6,4.6,3.7,4.3,6,6.8,4.5,3.8,4.3,4.3,3,3.8,6,4.5,4.8,5.1,5.8,7.8,11,8.4,7.5,6.4
2021-04-15,7.1,5,3.1,2.7,4,5.5,5.5,5.6,6.9,7.5,4.8,6.8,4,5.4,3.1,4.1,5.1,5.3,7.3,7.1,5.1,4.2,4.5,4.8
2021-04-16,2.9,3.7,2.5,2,2.6,2.5,6.7,5.8,6.2,4.2,4,2.9,2.9,2.7,3,3,2.6,3.5,3.7,3.7,3.4,2.3,3.2,4.1
2021-04-17,3.5,4.2,4.2,3.1,3.1,3.9,3.5,4,2.4,2.4,2.4,2.5,1.8,2,2.1,1.7,1.9,2.5,2.9,3.5,3.4,3.5,4.6,4.2
2021-04-18,4.1,5.6,4.2,4.4,4.8,4,4,3.5,3.2,3,2.8,2.4,2.3,2.6,2.9,2.9,3,2.9,3.7,7.8,7,7.2,7.6,7.9
2021-04-19,4.9,4.3,7.3,13.5,12.6,7.7,10,9.7,8.5,4.5,3.3,3,2.4,2.8,2.2,1.5,2.1,2.3,3.2,3.5,3.7,4.8,4.5,2.7
2021-04-20,3,3,2.2,1.6,2.1,2.4,2.8,2.2,1.8,2,2.4,1.8,2,1.8,2.4,2.2,2.7,2.1,1.9,2,1.5,1.7,1.4,1.3
2021-04-21,1.4,1.9,1.9,1.6,1.6,2.3,4.9,3,2.3,2.2,2.1,1.8,1.9,1.1,1.3,1.2,1.1,1.6,1.8,1.8,1.3,1.2,1.6,2
2021-04-22,1.7,1.8,2.3,2.1,2.8,2.4,2.7,1.7,2.1,1.6,1.2,1.1,1.2,1.3,1.4,1.7,1.4,1.4,1.3,1.5,2.2,3.1,2.9,2.1
2021-04-23,2.3,2.1,3.1,2.6,2.4,4,5.5,2.7,1.9,1.7,1.8,1.4,1.5,1.4,1.5,1.6,1.6,1.6,2.1,3.3,3.8,3.9,4.3,2.7
2021-04-24,5.1,3.3,3.9,3.9,4.5,4.4,4.5,2.7,3.3,3.4,2.2,1.5,1.4,2,1.9,2.6,2.6,3.5,4.7,5.5,6.1,6,8.6,8.3
2021-04-25,11.4,9.4,7.7,15.7,12.7,11.9,8.9,12.6,11.7,4.6,3.1,4.8,4.6,4.8,3.5,4,1.6,1.1,1.2,.8,.8,.7,.8,.8
2021-04-26,.9,.8,1,1.1,1.3,2,1.9,2.1,1.3,1.3,1.3,1.2,1.1,1.1,1.2,1,1.1,1.3,1.7,3.1,3.5,2.7,2.7,2.8
2021-04-27,3.3,2.4,3.9,6,4.2,5.4,4,5.2,6,2.6,2,2.9,2.5,1.7,2.4,1.9,2,2,3.4,3.9,4.8,4.7,6.5,6.2
2021-04-28,8.3,5.4,5.1,4.1,3.8,5.8,6,5.3,4.2,5.3,3.2,4.6,5.5,6.1,8.8,9.7,9.4,4.5,4.7,6.2,4.5,4,2.5,3
2021-04-29,2.6,2.5,2.2,2.2,3,3.5,4.8,4.4,4.1,4.1,4,3.2,3.1,3.1,3.4,4.7,4.3,4.8,5.4,10.4,11.8,9.4,7.2,5.6
2021-04-30,4.3,4.4,3.3,3.2,2.7,2.9,5.5,5.6,4.8,2.7,3.4,3.5,1.7,1.3,1.3,1.4,2,2.3,1.9,2.2,1.4,.7,.8,.8
2021-05-01,.7,.8,.8,.8,.9,1.2,1.3,1.3,1.3,.9,1.4,1.4,1.7,1.4,1.2,1.4,1.6,2.5,3.4,3.5,3.8,6.9,5.1,4.3
2021-05-02,3.6,4.5,4.8,7.6,12.7,6.8,3.7,3.5,2.4,1.8,2,1.6,1,1,1,1.1,1.3,1.6,1.8,2.2,2.2,1.9,1.5,2.3
2021-05-03,2.2,1.6,1.7,2.2,2,2.7,2.9,2.8,4.4,4.8,4.9,4.8,5.1,4.9,5.6,5.8,7.5,7.7,8.4,9.3,8.5,8.2,7.4,8.1
2021-05-04,8.4,8.5,7.1,4.4,4.5,4.2,4.8,3.2,2.9,3,3,3.6,3.8,4.6,4.7,5.2,5.3,5.6,6.6,6.1,5,4.7,3.9,4.2
2021-05-05,4.4,4.5,4.3,4.1,5.5,5,6.1,6.5,6.2,4.6,2.8,2.7,2.4,1.8,1.8,1.8,1.8,1.9,2,1.3,1.3,1,1,1.1
2021-05-06,1,1.2,1,1.2,1.6,2.8,2.3,1.5,1,.9,.9,.9,.8,1.1,1.3,1.3,1.1,1.3,1.7,2.9,2.9,3.7,3,3.6
2021-05-07,8.2,8.1,3.8,6,5.3,6,9.2,4.9,4.3,4.2,9999,9999,3.9,3.7,3.1,2.9,2.7,3.3,4.6,4.2,3.3,3.9,3.2,2.4
2021-05-08,2.3,2.6,1.7,2.3,2.7,4.5,4,3.3,2.5,3.7,2.4,1.9,2.1,1.9,1.6,1.7,1.7,1.6,1.6,1.4,1.4,1.2,1.4,1.5
2021-05-09,1.8,1.7,1.2,1.1,1.1,1.4,1.3,1.1,.9,1.3,1.1,1.2,1.4,1.2,1.4,2.8,3.1,2.2,3.4,3,5.9,8.4,4.5,4.3
2021-05-10,6.7,5.9,5.4,5.8,6.1,6.4,6.9,10,7,2.7,1.9,1.5,1.8,1.5,2.4,2.7,2.2,2.1,2,2,1.4,1.1,1.3,1.4
2021-05-11,1.5,1.5,1.7,2.3,2.4,2.5,3.3,3.3,2.6,1.7,1.2,1.2,.9,.9,1.1,1.7,2.5,2.1,1.9,1.5,1.6,2.4,2.4,2.3
2021-05-12,1.8,1.7,.9,1,1.4,1.7,2,1.5,1.2,1.7,1.3,1.1,1.1,1.2,1.1,1,1,1.1,1.5,3.2,3.9,5.3,3.4,5.6
2021-05-13,6,4.6,3.9,4,3.1,4.1,4.4,6.2,4.2,1.3,1,.9,.9,1.1,2,1.2,1.2,1.5,1.8,2.8,3.6,6.2,6.1,6.1
2021-05-14,6.2,7.1,6.3,4.4,4.2,4.4,6.2,6.4,4.1,3.4,2.6,1.6,1.7,1.2,1.5,1.2,1.4,1.3,1.9,5,3.2,3.5,3.2,2.4
2021-05-15,2.4,1.6,3.4,3.2,3.1,2.8,2.9,5,2.9,1.9,1.6,1.4,1.3,1.1,1.3,1.3,1.4,1.4,1.9,2.8,2.6,4.8,4.8,2.6
2021-05-16,2.3,1.4,2.5,3.4,3,2.9,2.4,4.3,4.7,3,1.5,1.2,2.4,3.1,1.6,1.8,1.5,2,2.3,3.9,5.3,5.3,5.1,4.9
2021-05-17,7,6.9,6.3,5.4,4.2,4.7,8,12.5,17.1,13.7,6.3,3.1,2.7,2.2,2.4,2.3,2.8,2.7,3,3.3,3,2.8,2.5,1.9
2021-05-18,1.8,2.4,3.1,2.9,4.9,5.1,8,7.9,5.7,3.1,2.6,2.1,2.4,1.8,2,1.6,1.5,1.8,2.3,4.1,6.3,5.2,4.8,4.6
2021-05-19,2.7,2.5,2.7,3.3,3,3.6,5.6,8.5,12,11.9,3,2.4,2.2,2.4,1.9,1.9,2.4,2.9,3.3,3.7,4,4.1,6.6,6.6
