hour,day,month,temp,humidity,wind,pressure,precip
21,22,1,16.0,79.0,13,29.47,0.0
22,22,1,14.0,79.0,12,29.48,0.0
23,22,1,12.0,85.0,9,29.51,0.0
0,23,1,10.0,79.0,10,29.53,0.0
1,23,1,9.0,79.0,13,29.54,0.0
2,23,1,7.0,79.0,9,29.56,0.0
3,23,1,7.0,79.0,10,29.58,0.0
4,23,1,7.0,79.0,14,29.59,0.0
5,23,1,5.0,78.0,13,29.61,0.0
6,23,1,3.0,78.0,10,29.64,0.0
7,23,1,1.0,78.0,15,29.66,0.0
8,23,1,0.0,72.0,13,29.7,0.0
9,23,1,1.0,66.0,16,29.71,0.0
10,23,1,3.0,66.0,18,29.73,0.0
11,23,1,3.0,72.0,16,29.74,0.0
12,23,1,5.0,66.0,20,29.73,0.0
13,23,1,7.0,61.0,17,29.73,0.0
14,23,1,7.0,61.0,17,29.73,0.0
15,23,1,9.0,62.0,16,29.75,0.0
16,23,1,7.0,67.0,16,29.76,0.0
17,23,1,7.0,61.0,10,29.78,0.0
18,23,1,7.0,61.0,12,29.8,0.0
19,23,1,7.0,67.0,14,29.8,0.0
20,23,1,5.0,72.0,15,29.81,0.0
21,23,1,5.0,72.0,14,29.81,0.0
22,23,1,3.0,78.0,16,29.83,0.0
23,23,1,3.0,72.0,15,29.82,0.0
0,24,1,1.0,78.0,13,29.82,0.0
1,24,1,1.0,72.0,21,29.81,0.0
2,24,1,1.0,72.0,20,29.82,0.0
3,24,1,0.0,78.0,18,29.83,0.0
4,24,1,0.0,78.0,20,29.83,0.0
5,24,1,0.0,78.0,14,29.84,0.0
6,24,1,-2.0,78.0,14,29.84,0.0
7,24,1,0.0,72.0,14,29.85,0.0
8,24,1,-2.0,78.0,15,29.85,0.0
9,24,1,0.0,72.0,15,29.86,0.0
10,24,1,1.0,72.0,15,29.86,0.0
11,24,1,3.0,66.0,14,29.84,0.0
12,24,1,5.0,66.0,13,29.81,0.0
13,24,1,9.0,62.0,14,29.79,0.0
14,24,1,10.0,57.0,14,29.77,0.0
15,24,1,12.0,57.0,16,29.76,0.0
16,24,1,12.0,57.0,9,29.76,0.0
17,24,1,9.0,62.0,8,29.77,0.0
18,24,1,7.0,67.0,7,29.76,0.0
19,24,1,9.0,62.0,7,29.77,0.0
20,24,1,7.0,67.0,6,29.76,0.0
21,24,1,7.0,72.0,3,29.75,0.0
22,24,1,5.0,78.0,5,29.75,0.0
23,24,1,7.0,79.0,5,29.74,0.0
0,25,1,3.0,85.0,6,29.74,0.0
1,25,1,1.0,85.0,2,29.73,0.0
